symbol,margin
3MINDIA,3
AARTIIND,3
ABB,3
ABFRL,3
ACC,12.5
ACE,3
ADANIENT,5
ADANIPORTS,5
ADANIPOWER,5
AIAENG,3
AJANTPHARM,3
AKZOINDIA,3
ALBK,3
ALKEM,3
ALLCARGO,3
AMARAJABAT,12.5
AMBUJACEM,12.5
ANANTRAJ,3
APOLLOHOSP,5
APOLLOTYRE,12.5
ARVIND,5
ASAHIINDIA,3
ASHOKLEY,5
ASIANPAINT,12.5
ASTRAZEN,3
ATFL,3
ATUL,3
AUBANK,3
AUROPHARMA,5
AUTOAXLES,3
AVANTIFEED,3
AXISBANK,12.5
BAJAJ-AUTO,12.5
BAJAJFINSV,12.5
BAJAJHLDNG,3
BAJFINANCE,12.5
BALKRISIND,12.5
BALRAMCHIN,3
BANCOINDIA,3
BANKBARODA,12.5
BANKBEES,10
BANKINDIA,5
BATAINDIA,12.5
BBTC,3
BEL,12.5
BEML,3
BERGEPAINT,12.5
BHARATFIN,3
BHARATFORG,12.5
BHARTIARTL,5
BHEL,5
BIOCON,12.5
BLUEDART,3
BOSCHLTD,12.5
BPCL,12.5
BRITANNIA,12.5
BSE,3
BSOFT,5
CADILAHC,12.5
CANBK,12.5
CANFINHOME,3
CAPACITE,3
CASTROLIND,12.5
CDSL,3
CEATLTD,3
CENTRUM,3
CENTURYPLY,3
CENTURYTEX,12.5
CEREBRAINT,3
CESC,12.5
CGCL,3
CHENNPETRO,3
CHOLAFIN,12.5
CHOLAHLDNG,3
CIPLA,12.5
COALINDIA,12.5
COCHINSHIP,3
COLPAL,12.5
CONCOR,12.5
COROMANDEL,3
CRISIL,3
CROMPTON,3
CUB,3
CUMMINSIND,12.5
CYIENT,3
DABUR,12.5
DALMIASUG,3
DBCORP,3
DCBBANK,3
DELTACORP,3
DHAMPURSUG,3
DIAMONDYD,3
DISHTV,5
DIVISLAB,8.3
DLF,5
DMART,3
DREDGECORP,3
DRREDDY,5
ECLERX,3
EICHERMOT,12.5
EIDPARRY,3
EIHOTEL,3
ELECTCAST,3
EMAMILTD,3
ENGINERSIN,12.5
EQUITAS,5.6
ERIS,3
ESCORTS,12.5
EXIDEIND,12.5
FEDERALBNK,12.5
FEL,3
FINCABLES,3
FORTIS,3
FRETAIL,3
GAIL,5
GDL,3
GEPIL,3
GESHIP,3
GHCL,3
GILLETTE,3
GLAXO,3
GLENMARK,12.5
GLOBUSSPR,3
GMBREW,3
GMRINFRA,5
GNFC,3
GODREJAGRO,3
GODREJCP,12.5
GODREJIND,3
GODREJPROP,3
GOLDBEES,10
GPPL,3
GRANULES,3
GRASIM,12.5
GREAVESCOT,3
GSFC,3
GSKCONS,3
GSPL,3
GUJALKALI,3
GUJGASLTD,3
HAVELLS,12.5
HBLPOWER,3
HCLTECH,12.5
HDFC,12.5
HDFCAMC,3
HDFCBANK,12.5
HDFCLIFE,3
HEIDELBERG,3
HEROMOTOCO,12.5
HEXAWARE,12.5
HGS,3
HIKAL,3
HINDALCO,12.5
HINDCOPPER,3
HINDPETRO,9
HINDUNILVR,12.5
HINDZINC,12.5
HONAUT,3
IBULHSGFIN,3
ICICIBANK,12.5
ICICIGI,3
ICICINIFTY,3
ICICIPRULI,9
IDBI,3
IDEA,3
IDFC,3
IDFCFIRSTB,5
IEX,3
IGL,12.5
INDHOTEL,3
INDIACEM,3
INDIANB,3
INDIGO,3
INDUSINDBK,5
INFIBEAM,3
INFRATEL,12.5
INFY,5
INOXLEISUR,3
INTELLECT,3
IOC,8.3
IPCALAB,3
IRB,3
IRCTC,3
ITC,12.5
JAICORPLTD,3
JAMNAAUTO,3
JAYSREETEA,3
JINDALSTEL,11
JKCEMENT,3
JKPAPER,3
JKTYRE,3
JMFINANCIL,3
JSWENERGY,3
JSWSTEEL,12.5
JUBILANT,3
JUBLFOOD,5
JUSTDIAL,10
JYOTHYLAB,3
KAJARIACER,12.5
KALPATPOWR,3
KANSAINER,3
KARURVYSYA,3
KEC,3
KEI,3
KIRIINDUS,3
KOTAKBANK,12.5
KOTAKNIFTY,3
KSCL,3
KTKBANK,3
L&TFH,11
LALPATHLAB,3
LIBERTSHOE,3
LICHSGFIN,12.5
LINCOLN,3
